run_id,rebalance_day,bull_threshold,dropped_assets,sharpe,max_dd,ann_return,final_equity
81,Wed,58,"COIN, XMR",1.2850779527245855,-0.27537473754171105,0.6022310055139795,7.758306245421561
82,Wed,63,SOL,0.6076230608016718,-0.25396742130153876,0.20811107441936283,2.2743068994822195
83,Thu,63,"SOL, HOOD",0.530503725778674,-0.38528152973983454,0.2292904823515809,2.452744628354233
84,Wed,63,CRCL,0.7846891982171424,-0.3240442608343872,0.2916048605019217,3.0407915208087646
85,Wed,58,"COIN, CRCL",1.1563572695791289,-0.3159672856657461,0.5035947969728394,5.8862373412761535
86,Thu,61,SOL,0.7884346515902263,-0.25396742130153876,0.27611195541819145,2.885419199824596
87,Mon,62,COIN,0.9379287858287138,-0.31596728566574617,0.38302175399507865,4.093214926755734
88,Mon,63,"COIN, HOOD",0.7046960714755546,-0.5240553833985254,0.37961908360785457,4.049626359802489
89,Tue,60,SOL,0.8836114023789841,-0.25396742130153876,0.3139866650776175,3.2765330085812474
90,Wed,59,HYPE,0.9168321894910021,-0.3599855343573288,0.34358763377985535,3.60963891874864
91,Tue,62,CRCL,0.8346414347843083,-0.32404426083438714,0.31112372346448947,3.2456188208215444
92,Mon,59,"COIN, CRCL",1.05278415997394,-0.31596728566574617,0.45073888804980244,5.038389664531869
93,Tue,58,HOOD,0.7691667350574998,-0.3724282305702573,0.3750930869929676,3.9922026906705286
94,Tue,60,BNB,0.4425414015377015,-0.453291069200279,0.17990783201991056,2.052403876300284
95,Wed,63,"HOOD, CRCL",0.6227938888429144,-0.4155908504617604,0.2763741817780858,2.887997009738827
96,Tue,59,HOOD,0.580041466880523,-0.43820708782720164,0.27750418464859794,2.8991257657788507
97,Mon,60,HOOD,0.7606774392757399,-0.36734411046179455,0.34689211200991954,3.64838185786902
98,Thu,58,HOOD,0.7691667350574998,-0.3724282305702573,0.3750930869929676,3.9922026906705286
99,Thu,59,"HOOD, BNB",-0.17846122638241607,-0.7212020816092333,-0.08960419380575313,0.6649796996724847
100,Tue,57,XMR,1.4440940195605307,-0.300378001939598,0.6099690217223663,7.9224728279227685
101,Wed,59,HOOD,0.580041466880523,-0.43820708782720164,0.27750418464859794,2.8991257657788507
102,Wed,59,"CRCL, COIN",1.05278415997394,-0.31596728566574617,0.45073888804980244,5.038389664531869
103,Wed,57,HYPE,1.1821862970983839,-0.33505263827697734,0.4552985256872104,5.107576145750672
104,Tue,61,"SOL, HOOD",0.590063875964167,-0.3852815297398343,0.26015382178239355,2.731846200142752
105,Thu,59,"XMR, COIN",1.1858631431158144,-0.27537473754171116,0.5462003770211923,6.646272984572016
106,Mon,60,HYPE,0.7659449671436239,-0.3599855343573288,0.2792241889497886,2.916128453183558
107,Mon,62,"SOL, COIN",1.0688333010248385,-0.26997163107753297,0.45727776415438104,5.1378351135305
108,Tue,59,"SOL, CRCL",0.9389585742503583,-0.25396742130153876,0.35493442892449756,3.7440111447829576
109,Wed,61,"CRCL, SOL",0.8767951768188342,-0.25396742130153876,0.306219160339263,3.193181479320472
110,Wed,61,"CRCL, XMR",1.0210283257277364,-0.30037800193959807,0.4050536240488358,4.384257595482281
111,Wed,60,"COIN, BNB",0.6501964465110167,-0.385553048607811,0.2595160576371396,2.725842345997173
112,Tue,60,"CRCL, HOOD",0.7001843927999438,-0.36734411046179455,0.31898993070276904,3.3311023072009758
113,Tue,61,"XMR, COIN",1.1697314119821047,-0.2753747375417111,0.51303859438589,6.048612960485153
114,Mon,59,"BNB, XMR",0.5359343919891687,-0.42579803219963336,0.252653427904004,2.6618788029710787
