date,cumulative_etf_flow
2021-02-17,33158472066.305836
2021-02-18,33951880731.86464
2021-02-19,34663276587.47422
2021-02-20,36879800494.56396
2021-02-21,37325577287.46814
2021-02-22,35935867959.51185
2021-02-23,32145242434.203064
2021-02-24,32603348494.995853
2021-02-25,32735369129.315296
2021-02-26,30522593928.951916
2021-02-27,30871487244.096237
2021-02-28,29365051436.756214
2021-03-01,31074416043.328754
2021-03-02,31795785402.79722
2021-03-03,32910823709.82696
2021-03-04,32335734561.88989
2021-03-05,31268200252.77065
2021-03-06,31642284636.521503
2021-03-07,32779809895.954857
2021-03-08,33174151138.921833
2021-03-09,35199971008.62545
2021-03-10,36158890485.01115
2021-03-11,36775297888.768654
2021-03-12,37196862056.84052
2021-03-13,38368235779.710785
2021-03-14,39502675688.24403
2021-03-15,37650370703.321365
2021-03-16,36219685462.34195
2021-03-17,36683968932.49036
2021-03-18,38268648934.94894
2021-03-19,38108062367.00226
2021-03-20,38488509131.84135
2021-03-21,37495401450.136154
2021-03-22,37147879802.58809
2021-03-23,35786408669.21572
2021-03-24,36104088898.2836
2021-03-25,34092322350.67791
2021-03-26,34750896401.19048
2021-03-27,36011496725.495285
2021-03-28,36464566665.01909
2021-03-29,37144433439.198875
2021-03-30,38110879074.94735
2021-03-31,38331574113.74797
2021-04-01,38410347486.052925
2021-04-02,38688956476.958015
2021-04-03,38461684620.231155
2021-04-04,37667533289.050354
2021-04-05,38007523520.002975
2021-04-06,38727492764.764114
2021-04-07,37373164329.41261
2021-04-08,37306173586.89454
2021-04-09,37987871553.51671
2021-04-10,39036408249.354
2021-04-11,39033522464.70449
2021-04-12,39257887221.50859
2021-04-13,40506138047.845566
2021-04-14,41449567531.7926
2021-04-15,41069786103.39128
2021-04-16,40690241252.20215
2021-04-17,40498028709.443245
2021-04-18,36808456564.55907
2021-04-19,37076002347.61612
2021-04-20,36352689309.91286
2021-04-21,36232438703.68575
2021-04-22,35154922720.338135
2021-04-23,32618011863.040638
2021-04-24,32711869397.08893
2021-04-25,32425241360.628963
2021-04-26,34538720329.01185
2021-04-27,35576089408.39307
2021-04-28,35739686476.224594
2021-04-29,35184625323.720184
2021-04-30,35984715929.0116
2021-05-01,37653485472.86807
2021-05-02,37112025233.030365
2021-05-03,37748516127.84694
2021-05-04,36122340662.77801
2021-05-05,36445581260.291245
2021-05-06,37186570882.55374
2021-05-07,37257838221.09386
2021-05-08,38140113908.200836
2021-05-09,37828402780.217636
2021-05-10,37710517709.67183
2021-05-11,36390745819.55219
2021-05-12,36504478064.29298
2021-05-13,32518593214.063957
2021-05-14,32709089719.30865
2021-05-15,31885632066.9233
2021-05-16,31110620553.99131
2021-05-17,28920219664.315693
2021-05-18,28770135332.28251
2021-05-19,25682826193.513424
2021-05-20,26019204437.035736
2021-05-21,25550785664.217278
2021-05-22,24457540349.203175
2021-05-23,22879984725.27016
2021-05-24,24089564592.57026
2021-05-25,24822508955.383938
2021-05-26,25559807836.67574
2021-05-27,25272586039.698975
2021-05-28,23877523548.74498
2021-05-29,22976446339.3261
2021-05-30,23098258080.90638
2021-05-31,23504429042.817207
2021-06-01,23807785669.9551
2021-06-02,24269432966.851192
2021-06-03,25077626978.73412
2021-06-04,24186039013.72273
2021-06-05,23833507760.333557
2021-06-06,23394264083.610516
2021-06-07,23379906448.766354
2021-06-08,21439565308.73049
2021-06-09,22630728320.716938
2021-06-10,24108315995.11143
2021-06-11,24078598611.859097
2021-06-12,23303416177.829872
2021-06-13,23643541255.159454
2021-06-14,25805597795.845478
2021-06-15,26150908264.9173
2021-06-16,25686554033.113983
2021-06-17,25128752514.639416
2021-06-18,24114430429.388767
2021-06-19,23264432147.27305
2021-06-20,22836198138.396427
2021-06-21,21645352018.222973
2021-06-22,20840374211.029266
2021-06-23,21972962431.545254
2021-06-24,21924941534.60474
2021-06-25,21751285950.015438
2021-06-26,20509730984.161366
2021-06-27,21470496278.58309
2021-06-28,22426644618.607487
2021-06-29,23099597042.2801
2021-06-30,22731038008.455498
2021-07-01,21946412587.22866
2021-07-02,21652759458.894054
2021-07-03,22298148300.721767
2021-07-04,22926455240.824287
2021-07-05,22187679136.62675
2021-07-06,22208536147.03737
2021-07-07,22455212707.447975
2021-07-08,21406006453.74669
2021-07-09,21541894958.049343
2021-07-10,21918660323.93549
2021-07-11,21963320972.049713
2021-07-12,21918003732.284225
2021-07-13,21362362008.04234
2021-07-14,21101164825.224384
2021-07-15,20897972083.924484
2021-07-16,20621371244.166428
2021-07-17,20519260406.738083
2021-07-18,20646895142.21174
2021-07-19,20267826187.426292
2021-07-20,19419931739.087387
2021-07-21,20228886305.191235
2021-07-22,20874529981.135136
2021-07-23,21087351309.461884
2021-07-24,21986572320.193817
2021-07-25,22288201806.65081
2021-07-26,24786461632.70037
2021-07-27,24437066434.29556
2021-07-28,25820618716.491516
2021-07-29,25849991894.131924
2021-07-30,25674938878.494877
2021-07-31,26979339881.60504
2021-08-01,26927093467.748535
2021-08-02,25711892304.080177
2021-08-03,24996394572.452526
2021-08-04,25092067153.94759
2021-08-05,25510817745.512497
2021-08-06,26759300614.65424
2021-08-07,28207571648.8191
2021-08-08,28708106157.93045
2021-08-09,29074408043.56044
2021-08-10,29562441507.116623
2021-08-11,29829258683.865078
2021-08-12,29135525816.228523
2021-08-13,29860946712.824978
2021-08-14,30535021059.39467
2021-08-15,30082915338.2459
2021-08-16,30406439462.85211
2021-08-17,29814914302.051254
2021-08-18,29250168287.16223
2021-08-19,29273245151.253128
2021-08-20,30877753759.298615
2021-08-21,31747762395.73639
2021-08-22,31655586737.995487
2021-08-23,32269593693.963417
2021-08-24,31699721652.019527
2021-08-25,31245468536.74006
2021-08-26,30700264025.37643
2021-08-27,30900808013.53229
2021-08-28,31676598862.064075
2021-08-29,31512381010.768215
2021-08-30,31179029801.17448
2021-08-31,30662238301.957485
2021-09-01,30852971270.3715
2021-09-02,32104037470.962765
2021-09-03,32293849274.333992
2021-09-04,32403754183.998535
2021-09-05,32535983094.592934
2021-09-06,33465988846.326397
2021-09-07,32486189240.464664
2021-09-08,30014335480.637268
2021-09-09,30083092548.18856
2021-09-10,29801647909.328655
2021-09-11,29409939125.65323
2021-09-12,29542246173.355762
2021-09-13,29069836006.55357
2021-09-14,29796836387.52474
2021-09-15,30782234055.79734
2021-09-16,30995893119.61901
2021-09-17,30813082143.38704
2021-09-18,31210540219.8111
2021-09-19,30910776758.372818
2021-09-20,28952747147.962223
2021-09-21,27553256013.864613
2021-09-22,27483930686.591686
2021-09-23,28522078142.79226
2021-09-24,27953664046.387066
2021-09-25,27582141493.693924
2021-09-26,27696335308.545517
2021-09-27,28161924534.930656
2021-09-28,27155483092.788742
2021-09-29,27089122767.147507
2021-09-30,27947330167.09005
2021-10-01,29712252099.213455
2021-10-02,30939836578.403156
2021-10-03,31058420424.163036
2021-10-04,31129188963.939354
2021-10-05,32349067987.784786
2021-10-06,34145342056.6679
2021-10-07,35185724454.469986
2021-10-08,35198372447.01832
2021-10-09,35371273189.338684
2021-10-10,35678778716.29316
2021-10-11,36642158839.18903
2021-10-12,36659603080.66369
2021-10-13,36212867909.62546
2021-10-14,37264469580.0418
2021-10-15,38682663201.87063
2021-10-16,39620034506.75883
2021-10-17,39330073872.55781
2021-10-18,39922188553.255066
2021-10-19,40474540838.56439
2021-10-20,41945811999.847244
2021-10-21,41601742800.231026
2021-10-22,40229518653.10815
2021-10-23,39506418398.37583
2021-10-24,39314735178.36864
2021-10-25,40456754438.88883
2021-10-26,40709473201.833755
2021-10-27,38655722306.99648
2021-10-28,38914051929.365135
2021-10-29,39767277286.24444
2021-10-30,39818129013.82145
2021-10-31,39470666939.82989
2021-11-01,39532737720.1951
2021-11-02,40322120462.98515
2021-11-03,40533772820.81828
2021-11-04,39933443742.456406
2021-11-05,39718710966.02658
2021-11-06,39378897379.17899
2021-11-07,40105299842.84771
2021-11-08,42417001910.40299
2021-11-09,43604537863.73691
2021-11-10,43199829522.33825
2021-11-11,41972111040.46718
2021-11-12,41499706369.35611
2021-11-13,41366646463.445656
2021-11-14,41630866892.95528
2021-11-15,42058224758.07101
2021-11-16,39340786050.51768
2021-11-17,38711251524.15008
2021-11-18,38171511418.759026
2021-11-19,36892205222.41233
2021-11-20,37874628001.13957
2021-11-21,38212305282.96148
2021-11-22,37044801278.58092
2021-11-23,36699881933.39242
2021-11-24,36592167589.99807
2021-11-25,37506947654.94351
2021-11-26,35957554152.19333
2021-11-27,35239901076.01687
