date,price
2022-05-22,30351.050417138
2022-05-23,29163.167775739
2022-05-24,29655.026131752
2022-05-25,29584.949851986
2022-05-26,29346.781442432
2022-05-27,28646.652181932
2022-05-28,29088.236452817
2022-05-29,29492.503214954
2022-05-30,31740.940725167
2022-05-31,31865.749621173
2022-06-01,29833.450330205
2022-06-02,30481.013996026
2022-06-03,29714.14348715
2022-06-04,29872.360308714
2022-06-05,29917.764052456
2022-06-06,31372.584762976
2022-06-07,31265.469277693
2022-06-08,30229.23683613
2022-06-09,30101.187521431
2022-06-10,29101.298259647
2022-06-11,28374.144997324
2022-06-12,26767.269173221
2022-06-13,22525.768350391
2022-06-14,22244.848968001
2022-06-15,22529.19811465
2022-06-16,20408.690490592
2022-06-17,20473.052880795
2022-06-18,19047.417828282
2022-06-19,20516.411979775
2022-06-20,20636.758912406
2022-06-21,20700.923933039
2022-06-22,19983.566482863
2022-06-23,21100.270533511
2022-06-24,21262.713482956
2022-06-25,21525.880362211
2022-06-26,21052.805397836
2022-06-27,20751.477530791
2022-06-28,20282.54247927
2022-06-29,20108.52947289
2022-06-30,19608.397493423
2022-07-01,19407.447430262
2022-07-02,19268.227002666
2022-07-03,19310.233218522
2022-07-04,20257.012328593
2022-07-05,20188.779663973
2022-07-06,20566.68722377
2022-07-07,21660.596837075
2022-07-08,21858.818749218
2022-07-09,21589.62810146
2022-07-10,20859.814079651
2022-07-11,19998.467839576
2022-07-12,19350.737350077
2022-07-13,20225.238664332
2022-07-14,20574.8405915
2022-07-15,20794.811981437
2022-07-16,21193.083343368
2022-07-17,20824.362751652
2022-07-18,22395.365383104
2022-07-19,23366.907697928
2022-07-20,23313.29673196
2022-07-21,23155.207555248
2022-07-22,22696.90275429
2022-07-23,22506.199573629
2022-07-24,22613.719208248
2022-07-25,21330.295450788
2022-07-26,21235.612316086
2022-07-27,22908.884260469
2022-07-28,23822.067597823
2022-07-29,23847.583318739
2022-07-30,23653.459549431
2022-07-31,23379.700525091
2022-08-01,23333.749243312
2022-08-02,23053.846847483
2022-08-03,22860.420984383
2022-08-04,22678.363633874
2022-08-05,23225.036201943
2022-08-06,22984.579531449
2022-08-07,23197.603469525
2022-08-08,23823.679442454
2022-08-09,23203.680696782
2022-08-10,23948.829553272
2022-08-11,23948.751703681
2022-08-12,24411.379871523
2022-08-13,24433.653747244
2022-08-14,24312.541424892
2022-08-15,24179.014652309
2022-08-16,23913.333725628
2022-08-17,23359.41883707
2022-08-18,23248.384228193
2022-08-19,20945.83396605
2022-08-20,21175.23273299
2022-08-21,21615.761693417
2022-08-22,21387.747114774
2022-08-23,21562.451539914
2022-08-24,21395.45846976
2022-08-25,21618.009019177
2022-08-26,20271.322951706
2022-08-27,20069.953331596
2022-08-28,19659.246706194
2022-08-29,20308.861447891
2022-08-30,19805.350698858
2022-08-31,20023.554444913
2022-09-01,20153.975977983
2022-09-02,19941.451370047
2022-09-03,19814.564245115
2022-09-04,19980.013222242
2022-09-05,19785.733501855
2022-09-06,18859.50008768
2022-09-07,19280.625476457
2022-09-08,19322.777749372
2022-09-09,21359.582525579
2022-09-10,21707.387319318
2022-09-11,21739.804379796
2022-09-12,22339.670502623
2022-09-13,20184.967491897
2022-09-14,20255.922978327
2022-09-15,19702.169889812
2022-09-16,19764.411712044
2022-09-17,20131.675305714
2022-09-18,19437.157867983
2022-09-19,19570.386709524
2022-09-20,18869.928809391
2022-09-21,18539.635238313
2022-09-22,19464.322663348
2022-09-23,19291.904802452
2022-09-24,18939.970580499
2022-09-25,18809.411439332
2022-09-26,19219.727780656
2022-09-27,19116.33116071
2022-09-28,19444.787771363
2022-09-29,19563.765161777
2022-09-30,19476.926596004
2022-10-01,19314.463835217
2022-10-02,19065.153837149
2022-10-03,19620.567543591
2022-10-04,20345.398520107
2022-10-05,20161.830614985
2022-10-06,19949.051041419
2022-10-07,19457.308951251
2022-10-08,19418.037989244
2022-10-09,19448.149001758
2022-10-10,19142.694767393
2022-10-11,19058.628039738
2022-10-12,19153.039779987
2022-10-13,19383.943220089
2022-10-14,19198.107144952
2022-10-15,19072.780513359
2022-10-16,19272.921847772
2022-10-17,19557.895548868
2022-10-18,19348.02936881
2022-10-19,19134.242664465
2022-10-20,19031.159871959
2022-10-21,19173.280468859
2022-10-22,19203.865471177
2022-10-23,19574.824231841
2022-10-24,19316.940622942
2022-10-25,20095.152230675
2022-10-26,20774.247496426
2022-10-27,20278.366232052
2022-10-28,20591.241208099
2022-10-29,20800.707087725
2022-10-30,20623.871497041
2022-10-31,20494.601209837
2022-11-01,20489.646203161
2022-11-02,20162.980904823
2022-11-03,20210.912417111
2022-11-04,21150.315583912
2022-11-05,21282.985109423
2022-11-06,20906.997926955
2022-11-07,20597.755017061
2022-11-08,18562.35321509
2022-11-09,15742.444335961
2022-11-10,17594.923500278
2022-11-11,17080.215260565
2022-11-12,16797.98748257
2022-11-13,16344.342316001
2022-11-14,16645.828500284
2022-11-15,16890.529383865
2022-11-16,16689.396732738
2022-11-17,16718.361228055
2022-11-18,16707.022778987
2022-11-19,16712.729525795
