date,input_price,input_mvrv_ratio,input_miner_revenue,input_etf_flows,input_btc_mc,input_eth_mc,input_stablecoin_supply,input_fed_balance_sheet,raw_mvrv_z,raw_puell,raw_price_200w_ratio,raw_stable_30d,raw_dom_proxy_30d_roc,raw_fed_bs_30d_roc,norm_mvrv_z,norm_puell,norm_price_200w_ratio,norm_stable_30d,norm_dom_proxy_30d_roc,btc_score,btc_score_lagged,regime,action
2018-04-18,8097.418233103,1.57002305,16399846.710094579,,137539507140.194,51170694522.3903,60109969.91,4385903.0,,,,-6.654471418343633e-10,0.0006965343101354993,-0.0048454163563830255,,,,,,,,NA,NA
2018-04-19,8277.460639163,1.58612722,18646406.16291566,,140616565985.041,56030501148.692,60109969.91,4385903.0,,,,-6.654471418343633e-10,-0.027136658449147477,-0.0048454163563830255,,,,,,,,NA,NA
2018-04-20,8499.450008715,1.69131108,14801987.370357247,,144401932888.962,58403874540.9929,60109969.9,4385903.0,,,,-8.318088440262272e-10,-0.02930878863021502,-0.0034806242448119917,,,,,,,,NA,NA
2018-04-21,8878.428260297,1.69378446,17898075.92668738,,150858701627.666,59405441433.0919,60109969.92,4385903.0,,,,-4.990853286201968e-10,-0.0260504859972448,-0.0034806242448119917,,,,,,,,NA,NA
2018-04-22,8769.011999473,1.68092587,17728657.907598477,,149017082314.253,61094825885.4324,60109969.9,4385903.0,,,,-8.318088440262272e-10,-0.039561738810395486,-0.0034806242448119917,,,,,,,,NA,NA
2018-04-23,8881.391704345,1.70339486,17244410.045853056,,150943914745.996,63004894796.4147,60109969.88,4385903.0,,,,-9.981704351957887e-10,-0.04752288147497541,-0.0034806242448119917,,,,,,,,NA,NA
2018-04-24,9716.489757331,1.83531084,19947087.384712815,,165155791737.985,69817174451.7543,60109969.9,4385903.0,,,,-6.654471418343633e-10,-0.04698136520969831,-0.0034806242448119917,,,,,,,,NA,NA
2018-04-25,8825.202500069,1.68455575,14378305.993877253,,150020058558.803,60788471582.8027,60109969.93,4372886.0,,,,-3.327235154060304e-10,-0.042097948323928325,-0.006438211932958571,,,,,,,,NA,NA
2018-04-26,9221.868026184,1.75708104,16876832.91691482,,156779014055.271,65093958669.9962,60109969.91,4372886.0,,,,-6.654471418343633e-10,-0.058100744056755804,-0.006438211932958571,,,,,,,,NA,NA
2018-04-27,8940.381122007,1.70402847,16366534.416854918,,152009053536.455,63614677083.8111,60109969.9,4372886.0,,,,-9.981705462180912e-10,-0.06568497439907994,-0.00439688738986721,,,,,,,,NA,NA
